,table_catalog,table_schema,table_name,column_name,ordinal_position,is_nullable,data_type,is_generated,generation_expression,is_stored,is_hidden,is_updatable,is_system_defined,is_partitioning_column,clustering_ordinal_position
0,gdelt-bq,gdeltv2,events,GLOBALEVENTID,1,YES,INT64,NEVER,,,NO,,NO,NO,
1,gdelt-bq,gdeltv2,events,SQLDATE,2,YES,INT64,NEVER,,,NO,,NO,NO,
2,gdelt-bq,gdeltv2,events,MonthYear,3,YES,INT64,NEVER,,,NO,,NO,NO,
3,gdelt-bq,gdeltv2,events,Year,4,YES,INT64,NEVER,,,NO,,NO,NO,
4,gdelt-bq,gdeltv2,events,FractionDate,5,YES,FLOAT64,NEVER,,,NO,,NO,NO,
5,gdelt-bq,gdeltv2,events,Actor1Code,6,YES,STRING,NEVER,,,NO,,NO,NO,
6,gdelt-bq,gdeltv2,events,Actor1Name,7,YES,STRING,NEVER,,,NO,,NO,NO,
7,gdelt-bq,gdeltv2,events,Actor1CountryCode,8,YES,STRING,NEVER,,,NO,,NO,NO,
8,gdelt-bq,gdeltv2,events,Actor1KnownGroupCode,9,YES,STRING,NEVER,,,NO,,NO,NO,
9,gdelt-bq,gdeltv2,events,Actor1EthnicCode,10,YES,STRING,NEVER,,,NO,,NO,NO,
10,gdelt-bq,gdeltv2,events,Actor1Religion1Code,11,YES,STRING,NEVER,,,NO,,NO,NO,
11,gdelt-bq,gdeltv2,events,Actor1Religion2Code,12,YES,STRING,NEVER,,,NO,,NO,NO,
12,gdelt-bq,gdeltv2,events,Actor1Type1Code,13,YES,STRING,NEVER,,,NO,,NO,NO,
13,gdelt-bq,gdeltv2,events,Actor1Type2Code,14,YES,STRING,NEVER,,,NO,,NO,NO,
14,gdelt-bq,gdeltv2,events,Actor1Type3Code,15,YES,STRING,NEVER,,,NO,,NO,NO,
15,gdelt-bq,gdeltv2,events,Actor2Code,16,YES,STRING,NEVER,,,NO,,NO,NO,
16,gdelt-bq,gdeltv2,events,Actor2Name,17,YES,STRING,NEVER,,,NO,,NO,NO,
17,gdelt-bq,gdeltv2,events,Actor2CountryCode,18,YES,STRING,NEVER,,,NO,,NO,NO,
18,gdelt-bq,gdeltv2,events,Actor2KnownGroupCode,19,YES,STRING,NEVER,,,NO,,NO,NO,
19,gdelt-bq,gdeltv2,events,Actor2EthnicCode,20,YES,STRING,NEVER,,,NO,,NO,NO,
20,gdelt-bq,gdeltv2,events,Actor2Religion1Code,21,YES,STRING,NEVER,,,NO,,NO,NO,
