,table_catalog,table_schema,table_name,column_name,ordinal_position,is_nullable,data_type,is_generated,generation_expression,is_stored,is_hidden,is_updatable,is_system_defined,is_partitioning_column,clustering_ordinal_position
0,gdelt-bq,gdeltv2,gkg,GKGRECORDID,1,YES,STRING,NEVER,,,NO,,NO,NO,
1,gdelt-bq,gdeltv2,gkg,DATE,2,YES,INT64,NEVER,,,NO,,NO,NO,
2,gdelt-bq,gdeltv2,gkg,SourceCollectionIdentifier,3,YES,INT64,NEVER,,,NO,,NO,NO,
3,gdelt-bq,gdeltv2,gkg,SourceCommonName,4,YES,STRING,NEVER,,,NO,,NO,NO,
4,gdelt-bq,gdeltv2,gkg,DocumentIdentifier,5,YES,STRING,NEVER,,,NO,,NO,NO,
5,gdelt-bq,gdeltv2,gkg,Counts,6,YES,STRING,NEVER,,,NO,,NO,NO,
6,gdelt-bq,gdeltv2,gkg,V2Counts,7,YES,STRING,NEVER,,,NO,,NO,NO,
7,gdelt-bq,gdeltv2,gkg,Themes,8,YES,STRING,NEVER,,,NO,,NO,NO,
8,gdelt-bq,gdeltv2,gkg,V2Themes,9,YES,STRING,NEVER,,,NO,,NO,NO,
9,gdelt-bq,gdeltv2,gkg,Locations,10,YES,STRING,NEVER,,,NO,,NO,NO,
10,gdelt-bq,gdeltv2,gkg,V2Locations,11,YES,STRING,NEVER,,,NO,,NO,NO,
11,gdelt-bq,gdeltv2,gkg,Persons,12,YES,STRING,NEVER,,,NO,,NO,NO,
12,gdelt-bq,gdeltv2,gkg,V2Persons,13,YES,STRING,NEVER,,,NO,,NO,NO,
13,gdelt-bq,gdeltv2,gkg,Organizations,14,YES,STRING,NEVER,,,NO,,NO,NO,
14,gdelt-bq,gdeltv2,gkg,V2Organizations,15,YES,STRING,NEVER,,,NO,,NO,NO,
15,gdelt-bq,gdeltv2,gkg,V2Tone,16,YES,STRING,NEVER,,,NO,,NO,NO,
16,gdelt-bq,gdeltv2,gkg,Dates,17,YES,STRING,NEVER,,,NO,,NO,NO,
17,gdelt-bq,gdeltv2,gkg,GCAM,18,YES,STRING,NEVER,,,NO,,NO,NO,
18,gdelt-bq,gdeltv2,gkg,SharingImage,19,YES,STRING,NEVER,,,NO,,NO,NO,
19,gdelt-bq,gdeltv2,gkg,RelatedImages,20,YES,STRING,NEVER,,,NO,,NO,NO,
20,gdelt-bq,gdeltv2,gkg,SocialImageEmbeds,21,YES,STRING,NEVER,,,NO,,NO,NO,
21,gdelt-bq,gdeltv2,gkg,SocialVideoEmbeds,22,YES,STRING,NEVER,,,NO,,NO,NO,
22,gdelt-bq,gdeltv2,gkg,Quotations,23,YES,STRING,NEVER,,,NO,,NO,NO,
23,gdelt-bq,gdeltv2,gkg,AllNames,24,YES,STRING,NEVER,,,NO,,NO,NO,
24,gdelt-bq,gdeltv2,gkg,Amounts,25,YES,STRING,NEVER,,,NO,,NO,NO,
25,gdelt-bq,gdeltv2,gkg,TranslationInfo,26,YES,STRING,NEVER,,,NO,,NO,NO,
26,gdelt-bq,gdeltv2,gkg,Extras,27,YES,STRING,NEVER,,,NO,,NO,NO,
